width	title	line
6	'你好你好你好'	'─  … ─'
7	'你好你好你好'	'─ 你… ─'
8	'你好你好你好'	'─ 你 … ─'
9	'你好你好你好'	'─ 你好… ─'
10	'你好你好你好'	'─ 你好 … ─'
11	'你好你好你好'	'─ 你好你… ─'
12	'你好你好你好'	'─ 你好你 … ─'
13	'你好你好你好'	'─ 你好你好… ─'
14	'你好你好你好'	'─ 你好你好 … ─'
15	'你好你好你好'	'─ 你好你好你… ─'
16	'你好你好你好'	'─ 你好你好你好 ─'
17	'你好你好你好'	'─ 你好你好你好 ──'
18	'你好你好你好'	'── 你好你好你好 ──'
19	'你好你好你好'	'── 你好你好你好 ───'
20	'你好你好你好'	'─── 你好你好你好 ───'
21	'你好你好你好'	'─── 你好你好你好 ────'
6	'a你b好c你d'	'─ a… ─'
7	'a你b好c你d'	'─ a … ─'
8	'a你b好c你d'	'─ a你… ─'
9	'a你b好c你d'	'─ a你b… ─'
10	'a你b好c你d'	'─ a你b … ─'
11	'a你b好c你d'	'─ a你b好… ─'
12	'a你b好c你d'	'─ a你b好c… ─'
13	'a你b好c你d'	'─ a你b好c … ─'
14	'a你b好c你d'	'─ a你b好c你d ─'
15	'a你b好c你d'	'─ a你b好c你d ──'
16	'a你b好c你d'	'── a你b好c你d ──'
17	'a你b好c你d'	'── a你b好c你d ───'
18	'a你b好c你d'	'─── a你b好c你d ───'
19	'a你b好c你d'	'─── a你b好c你d ────'
20	'a你b好c你d'	'──── a你b好c你d ────'
21	'a你b好c你d'	'──── a你b好c你d ─────'
6	'你a好b你c'	'─  … ─'
7	'你a好b你c'	'─ 你… ─'
8	'你a好b你c'	'─ 你a… ─'
9	'你a好b你c'	'─ 你a … ─'
10	'你a好b你c'	'─ 你a好… ─'
11	'你a好b你c'	'─ 你a好b… ─'
12	'你a好b你c'	'─ 你a好b … ─'
13	'你a好b你c'	'─ 你a好b你c ─'
14	'你a好b你c'	'─ 你a好b你c ──'
15	'你a好b你c'	'── 你a好b你c ──'
16	'你a好b你c'	'── 你a好b你c ───'
17	'你a好b你c'	'─── 你a好b你c ───'
18	'你a好b你c'	'─── 你a好b你c ────'
19	'你a好b你c'	'──── 你a好b你c ────'
20	'你a好b你c'	'──── 你a好b你c ─────'
21	'你a好b你c'	'───── 你a好b你c ─────'
