width	message	wrapped
1	'你好世界'	' \n \n \n '
2	'你好世界'	'你\n好\n世\n界'
3	'你好世界'	'你\n好\n世\n界'
4	'你好世界'	'你好\n世界'
5	'你好世界'	'你好\n世界'
6	'你好世界'	'你好世\n界'
1	'a 你好 b'	'a\n\n \n \n \nb'
2	'a 你好 b'	'a \n你\n好\n b'
3	'a 你好 b'	'a \n你\n好 \nb'
4	'a 你好 b'	'a \n你好\nb'
5	'a 你好 b'	'a \n你好 \nb'
6	'a 你好 b'	'a 你好\nb'
1	'你好 世界'	' \n \n \n\n \n '
2	'你好 世界'	'你\n好\n \n世\n界'
3	'你好 世界'	'你\n好 \n世\n界'
4	'你好 世界'	'你好\n世界'
5	'你好 世界'	'你好 \n世界'
6	'你好 世界'	'你好 \n世界'
1	'ab 你 cd'	'a\nb\n \n\n \n \nc\nd'
2	'ab 你 cd'	'ab\n你\ncd'
3	'ab 你 cd'	'ab \n你 \ncd'
4	'ab 你 cd'	'ab \n你 \ncd'
5	'ab 你 cd'	'ab 你\ncd'
6	'ab 你 cd'	'ab 你 \ncd'
1	'你a好b世c'	' \na\n \nb\n \nc'
2	'你a好b世c'	'你\na\n好\nb\n世\nc'
3	'你a好b世c'	'你a\n好b\n世c'
4	'你a好b世c'	'你a\n好b\n世c'
5	'你a好b世c'	'你a好\nb世c'
6	'你a好b世c'	'你a好b\n世c'
